ALGO_TYPE,AUDIT_ID,CCY_CONTRA,CCY_DEALT,COMPOSITE,CP_ACCOUNT,CP_CLIENT,CP_FLOOR,CP_FLOOR_KEY,CP_INSTITUTION,CP_INSTITUTION_KEY,CP_LEI,CP_ROLE,CP_SI_BANK,CP_SI_BANK_ACC,CP_SI_BANK_BIC,CP_SI_BANK_CITYCODE,CP_SI_BANK_LOCATION,CP_SI_CCY,CP_SI_TYPE,CP_TRADER,DATE_MATURITY,DATE_SETTLEMENT,DOMAIN_ID,ECN,EFP_EBS_ORDER_ID,EFP_EXEC_SIDE,EFP_ORDER_ID,END_DATE,EXEC_ID,FP_ACCOUNT,FP_CLIENT,FP_EXEC_SIDE,FP_FLOOR,FP_FLOOR_KEY,FP_INSTITUTION,FP_INSTITUTION_KEY,FP_LEI,FP_ROLE,FP_SIDE,FP_SI_BANK,FP_SI_BANK_ACC,FP_SI_BANK_BIC,FP_SI_BANK_CITYCODE,FP_SI_BANK_LOCATION,FP_SI_CCY,FP_SI_TYPE,FP_TRADER,GENERATION,ID,INSTR_PRODUCT_TYPE,INSTR_SEC_ID,INSTR_SYMBOL,IS_TERM_CCY,LEG_TYPE,MARKET_SEGMENT,PX_ALLIN,PX_BD_BASE,PX_BD_ECOM,PX_BD_TRADER,PX_BD_VENUE,PX_EFFECTIVE,PX_EFFECTIVE_EXP,PX_EXP,PX_FWDP_ALLIN,PX_FWDP_BD_BASE,PX_FWDP_BD_ECOM,PX_FWDP_BD_TRADER,PX_FWDP_BD_VENUE,PX_FWDP_EXP,PX_PRIME_SPREAD,PX_PRIME_SPREAD_EXP,PX_SPOT_ALLIN,PX_SPOT_BD_BASE,PX_SPOT_BD_ECOM,PX_SPOT_BD_TRADER,PX_SPOT_BD_VENUE,PX_SPOT_EXP,PX_SWAP_POINTS,PX_SWAP_POINTS_EXP,QTY_CNTR,QTY_CNTR_EXP,QTY_DEALT,QTY_DEALT_EXP,SPOT_SETTL_DATE,TENOR_TYPE,TENOR_VALUE,TICKET_TYPE,TRADE_DATE,TXN_TIME,VC_PX_ALLIN,VC_PX_EFFECTIVE,VC_PX_FWDP_ALLIN,VC_PX_PRIME_SPREAD,VC_PX_SWAP_POINTS,VC_QTY_CNTR,VC_QTY_DEALT
1,17,GBP,EUR,0,LPRH,,LPRH,4080,LPRH,1221,,E,,,LPRHLPRH,,,EUR,0,,,1452470400000,0,2,0100-3300-0003,T,LN2-1447148910874-3,1452470400000,FF64-0E72-0003-00,LCPI,,T,LCPI,3876,LCPI,943,,E,1,,,LCPILCPI,,,GBP,0,MT2,0,FF64-0E72-0003-00-100000,0,2228359,EUR/GBP,0,0,2,135979,,,,,135979,-5,-5,,,,,,,,,,,,,,,,,135979000,-2,1000000,0,1452643200000,12,1,0,1452470400000,1452508249147,0.135979E1,0.135979E1,,,,0.135979E7,0.1E7
1,10,RUB,USD,0,R3E2,,R3E2,4185,R3E2,1098,,C,,,R3E2R3E2,,,RUB,0,LN6,,1452470400000,0,2,0100-2400-0015,T,LN2-1446722297770-4,1452470400000,FF64-0E70-0004-00,3CRE,,M,3CRE,4172,3CRE,1083,,B,0,,,CRE3CRE3,,,USD,0,,0,FF64-0E70-0004-00-1BC000,0,1900685,USD/RUB,0,0,2,527502,,,,,527502,-4,-4,,,,,,,,,,,,,,,,,5275020000,-2,1000000,0,1452643200000,12,1,1,1452470400000,1452508249011,0.527502E2,0.527502E2,,,,0.527502E8,0.1E7
1,8,JPY,GBP,0,LPDE,,LPDE,4232,LPDE,1080,,A,,,LPDELPDE,,,GBP,0,,,1452470400000,0,2,0100-2400-0017,T,LN2-1446723330227-2,1452470400000,FF64-0E70-0006-00,RB01,,T,RB01,4392,RB01,1075,,C,1,,,RB01RB01,,,JPY,0,LN2,0,FF64-0E70-0006-00-1CA000,0,852105,GBP/JPY,0,0,2,180129,,,,,180129,-3,-3,,,,,,,,,,,,,,,,,180129000,0,1000000,0,1452643200000,12,1,2,1452470400000,1452508248995,0.180129E3,0.180129E3,,,,0.180129E9,0.1E7
1,10,RUB,USD,0,LCRE,,LCRE,4156,LCRE,1111,,A,,,LCRELCRE,,,USD,0,,,1452470400000,0,2,0100-2400-0015,T,LN2-1446722297770-4,1452470400000,FF64-0E70-0004-00,R3E2,,T,R3E2,4185,R3E2,1098,,C,1,,,R3E2R3E2,,,RUB,0,LN6,0,FF64-0E70-0004-00-1CA000,0,1900685,USD/RUB,0,0,2,527502,,,,,527502,-4,-4,,,,,,,,,,,,,,,,,5275020000,-2,1000000,0,1452643200000,12,1,2,1452470400000,1452508249011,0.527502E2,0.527502E2,,,,0.527502E8,0.1E7
1,13,CHF,USD,0,LPRP,,LPRP,4169,LPRP,973,,A,,,LPRPLPRP,,,USD,0,,,1452470400000,0,2,0100-2400-0013,T,LN2-1446721464277-2,1452470400000,FF64-0E70-0002-00,LCPO,,T,LCPO,3916,LCPO,949,,E,1,,,LCPOLCPO,,,CHF,0,LN4,0,FF64-0E70-0002-00-100000,0,1900676,USD/CHF,0,0,2,99008,,,,,99008,-5,-5,,,,,,,,,,,,,,,,,99008000,-2,1000000,0,1452643200000,12,1,0,1452470400000,1452508249044,0.99008E0,0.99008E0,,,,0.99008E6,0.1E7
1,14,CAD,AUD,0,LPRA,,LPRA,4073,ZHBC,959,,E,,,LPRALPRA,,,CAD,0,,,1452470400000,0,2,0100-2400-000A,T,LN2-1446716515210-8,1452470400000,FF64-0E6D-000A-00,LCPL,,T,LCPL,3913,LCPL,946,,E,0,,,LCPLLCPL,,,AUD,0,LN2,0,FF64-0E6D-000A-00-100000,0,196739,AUD/CAD,0,0,2,102440,,,,,102440,-5,-5,,,,,,,,,,,,,,,,,102440000,-2,1000000,0,1452643200000,12,1,0,1452470400000,1452508249052,0.10244E1,0.10244E1,,,,0.10244E7,0.1E7
1,15,CAD,AUD,0,LPRB,,LPRB,4074,ZBOA,960,,E,,,LPRBLPRB,,,AUD,0,,,1452470400000,0,2,0100-2900-0023,T,LN2-1446975088802-2,1452470400000,FF64-0E70-002E-04,LCPM,,T,LCPM,3914,LCPM,947,,E,1,,,LCPMLCPM,,,CAD,0,L02,0,FF64-0E70-002E-04-100000,0,196739,AUD/CAD,0,0,2,96452,,,,,96452,-5,-5,,,,,,,,,,,,,,,,,482260000,-2,5000000,0,1452643200000,12,1,0,1452470400000,1452508249128,0.96452E0,0.96452E0,,,,0.48226E7,0.5E7
1,9,RUB,USD,0,LCRE,,LCRE,4156,LCRE,1111,,A,,,LCRELCRE,,,RUB,0,,,1452470400000,0,2,0100-2400-0014,T,LN2-1446722296089-3,1452470400000,FF64-0E70-0003-00,R3E1,,T,R3E1,4184,R3E1,1097,,C,0,,,R3E1R3E1,,,USD,0,LN5,0,FF64-0E70-0003-00-1CA000,0,1900685,USD/RUB,0,0,2,528604,,,,,528604,-4,-4,,,,,,,,,,,,,,,,,5286040000,-2,1000000,0,1452643200000,12,1,2,1452470400000,1452508249003,0.528604E2,0.528604E2,,,,0.528604E8,0.1E7
1,7,JPY,GBP,0,LPDE,,LPDE,4232,LPDE,1080,,A,,,LPDELPDE,,,JPY,0,,,1452470400000,0,2,0100-2400-0016,T,LN2-1446723245475-1,1452470400000,FF64-0E70-0005-00,RA99,,T,RA99,4391,RA99,1074,,C,0,,,RA99RA99,,,GBP,0,LN2,0,FF64-0E70-0005-00-1CA000,0,852105,GBP/JPY,0,0,2,180177,,,,,180177,-3,-3,,,,,,,,,,,,,,,,,180177000,0,1000000,0,1452643200000,12,1,2,1452470400000,1452508248985,0.180177E3,0.180177E3,,,,0.180177E9,0.1E7
1,7,JPY,GBP,0,LPLL,,LPLL,4495,LPLL,1229,,A,,,LPLLLPLL,,,JPY,0,,,1452470400000,0,2,0100-2400-0016,T,LN2-1446723245475-1,1452470400000,FF64-0E70-0005-00,1PSE,,T,1PDE,4237,1PSE,968,,B,0,,,PDE1PDE1,,,GBP,0,,0,FF64-0E70-0005-00-100000,0,852105,GBP/JPY,0,0,2,180177,,,,,180177,-3,-3,,,,,,,,,,,,,,,,,180177000,0,1000000,0,1452643200000,12,1,0,1452470400000,1452508248985,0.180177E3,0.180177E3,,,,0.180177E9,0.1E7
